Date,App_Name,Category,Minutes_Used
2026-07-10,Instagram,Social Media,90
2026-07-10,YouTube,Entertainment,70
2026-07-10,WhatsApp,Communication,45
2026-07-10,VS Code,Coding,180
2026-07-10,ChatGPT,Education,50
2026-07-10,Spotify,Entertainment,40

2026-07-11,Instagram,Social Media,110
2026-07-11,YouTube,Entertainment,80
2026-07-11,WhatsApp,Communication,50
2026-07-11,VS Code,Coding,170
2026-07-11,ChatGPT,Education,60
2026-07-11,Spotify,Entertainment,35

2026-07-12,Instagram,Social Media,100
2026-07-12,YouTube,Entertainment,75
2026-07-12,WhatsApp,Communication,40
2026-07-12,VS Code,Coding,190
2026-07-12,ChatGPT,Education,65
2026-07-12,Spotify,Entertainment,30

2026-07-13,Instagram,Social Media,130
2026-07-13,YouTube,Entertainment,90
2026-07-13,WhatsApp,Communication,55
2026-07-13,VS Code,Coding,160
2026-07-13,ChatGPT,Education,70
2026-07-13,Spotify,Entertainment,45

2026-07-14,Instagram,Social Media,120
2026-07-14,YouTube,Entertainment,100
2026-07-14,WhatsApp,Communication,60
2026-07-14,VS Code,Coding,200
2026-07-14,ChatGPT,Education,80
2026-07-14,Spotify,Entertainment,50

2026-07-15,Instagram,Social Media,140
2026-07-15,YouTube,Entertainment,110
2026-07-15,WhatsApp,Communication,55
2026-07-15,VS Code,Coding,180
2026-07-15,ChatGPT,Education,75
2026-07-15,Spotify,Entertainment,40

2026-07-16,Instagram,Social Media,95
2026-07-16,YouTube,Entertainment,85
2026-07-16,WhatsApp,Communication,50
2026-07-16,VS Code,Coding,210
2026-07-16,ChatGPT,Education,90
2026-07-16,Spotify,Entertainment,35

2026-07-17,Instagram,Social Media,105
2026-07-17,YouTube,Entertainment,95
2026-07-17,WhatsApp,Communication,60
2026-07-17,VS Code,Coding,220
2026-07-17,ChatGPT,Education,85
2026-07-17,Spotify,Entertainment,45

2026-07-18,Instagram,Social Media,125
2026-07-18,YouTube,Entertainment,100
2026-07-18,WhatsApp,Communication,55
2026-07-18,VS Code,Coding,200
2026-07-18,ChatGPT,Education,95
2026-07-18,Spotify,Entertainment,40

2026-07-19,Instagram,Social Media,135
2026-07-19,YouTube,Entertainment,105
2026-07-19,WhatsApp,Communication,65
2026-07-19,VS Code,Coding,180
2026-07-19,ChatGPT,Education,90
2026-07-19,Spotify,Entertainment,50

2026-07-20,Instagram,Social Media,120
2026-07-20,YouTube,Entertainment,95
2026-07-20,WhatsApp,Communication,50
2026-07-20,VS Code,Coding,210
2026-07-20,ChatGPT,Education,85
2026-07-20,Spotify,Entertainment,40

2026-07-21,Instagram,Social Media,100
2026-07-21,YouTube,Entertainment,85
2026-07-21,WhatsApp,Communication,45
2026-07-21,VS Code,Coding,220
2026-07-21,ChatGPT,Education,95
2026-07-21,Spotify,Entertainment,35

2026-07-22,Instagram,Social Media,110
2026-07-22,YouTube,Entertainment,90
2026-07-22,WhatsApp,Communication,55
2026-07-22,VS Code,Coding,200
2026-07-22,ChatGPT,Education,100
2026-07-22,Spotify,Entertainment,45

2026-07-23,Instagram,Social Media,95
2026-07-23,YouTube,Entertainment,80
2026-07-23,WhatsApp,Communication,50
2026-07-23,VS Code,Coding,230
2026-07-23,ChatGPT,Education,105
2026-07-23,Spotify,Entertainment,40
